node_id,parent_id,version_label,makespan,delta_makespan_vs_parent,delta_makespan_vs_root,score,status,best_bound,relative_gap,elapsed_seconds,branches,conflicts,changed_fields,solver_script,spec_hash,parent_spec_hash
0,,node_0000,1728,,0,-1739.5162037037037,feasible,1529.0,0.11516203703703703,10.036730974999955,204,0,"[""backend"", ""branching"", ""encoding"", ""log_search_progress"", ""max_time_in_seconds"", ""notes"", ""redundant_bounds"", ""symmetry_breaking"", ""warm_start""]",solvers/node_0000_solver.py,14e2afda3eb27012,
1,0,node_0001,1706,-22,-22,-1715.730363423212,feasible,1540.0,0.09730363423212192,30.048275955981808,383,0,"[""max_time_in_seconds"", ""notes"", ""redundant_bounds""]",solvers/node_0001_solver.py,02f3e5314fd0e572,14e2afda3eb27012
2,1,node_0002,1684,-22,-44,-1692.6698337292162,feasible,1538.0,0.08669833729216152,30.03719589699176,312,0,"[""branching"", ""notes""]",solvers/node_0002_solver.py,c2f27df09b31824a,02f3e5314fd0e572
3,2,node_0003,1674,-10,-54,-1681.9450418160095,feasible,1541.0,0.07945041816009558,30.095302464993438,383,0,"[""branching"", ""notes""]",solvers/node_0003_solver.py,28ee4e414a021973,c2f27df09b31824a
4,3,node_0004,1668,-6,-60,-1675.853717026379,feasible,1537.0,0.07853717026378897,30.039008810999803,159,0,"[""branching"", ""notes""]",solvers/node_0004_solver.py,d76fb0cc0be4a270,28ee4e414a021973
5,4,node_0005,1666,-2,-62,-1673.6830732292917,feasible,1538.0,0.07683073229291716,30.11361856001895,383,0,"[""branching"", ""notes""]",solvers/node_0005_solver.py,797c8acd5c4f0104,d76fb0cc0be4a270
6,5,node_0006,1694,28,-34,-1703.090909090909,feasible,1540.0,0.09090909090909091,30.085380312986672,152,0,"[""branching"", ""notes""]",solvers/node_0006_solver.py,df76666a40e77ea1,797c8acd5c4f0104
7,5,node_0007,1674,8,-54,-1681.4671445639187,feasible,1549.0,0.07467144563918758,60.051525978022255,137,0,"[""max_time_in_seconds"", ""notes""]",solvers/node_0007_solver.py,dff25850b04f2084,797c8acd5c4f0104
8,5,node_0008,1702,36,-26,-1711.048178613396,feasible,1548.0,0.09048178613396005,60.06947353100986,318,0,"[""max_time_in_seconds"", ""notes""]",solvers/node_0008_solver.py,5c6dd5e5e8afa5c3,797c8acd5c4f0104
9,5,node_0009,1682,16,-46,-1690.5612366230678,feasible,1538.0,0.08561236623067776,30.049575494980672,277,0,"[""branching"", ""notes""]",solvers/node_0009_solver.py,a55083928f785c1e,797c8acd5c4f0104
10,5,node_0010,1669,3,-59,-1676.7291791491912,feasible,1540.0,0.07729179149191133,30.089879637991544,345,0,"[""branching"", ""notes""]",solvers/node_0010_solver.py,d99c3d9f793c45a6,797c8acd5c4f0104
11,5,node_0011,1697,31,-31,-1706.2516205067766,feasible,1540.0,0.09251620506776664,30.03368092997698,109,0,"[""branching"", ""notes""]",solvers/node_0011_solver.py,791e17320e337b6c,797c8acd5c4f0104
12,5,node_0012,1669,3,-59,-1676.8490113840624,feasible,1538.0,0.07849011384062313,30.041742022003746,263,0,"[""branching"", ""notes""]",solvers/node_0012_solver.py,c9a7329bd67e8245,797c8acd5c4f0104
13,5,node_0013,1690,24,-38,-1698.4023668639054,feasible,1548.0,0.08402366863905325,60.03882314899238,281,0,"[""max_time_in_seconds"", ""notes""]",solvers/node_0013_solver.py,424b2e59cf23ac53,797c8acd5c4f0104
14,10,node_0014,1710,41,-18,-1720.0,feasible,1539.0,0.1,30.035195781005314,261,0,"[""branching"", ""notes""]",solvers/node_0014_solver.py,4dc91a5f7cbd0a46,d99c3d9f793c45a6
15,5,node_0015,1687,21,-41,-1695.298755186722,feasible,1547.0,0.08298755186721991,60.04225968098035,154,0,"[""max_time_in_seconds"", ""notes""]",solvers/node_0015_solver.py,b718b04432c7fa26,797c8acd5c4f0104
16,5,node_0016,1680,14,-48,-1688.452380952381,feasible,1538.0,0.08452380952380953,30.050798137992388,283,0,"[""branching"", ""notes""]",solvers/node_0016_solver.py,0080d822ba84cbeb,797c8acd5c4f0104
17,5,node_0017,1674,8,-54,-1681.6463560334528,feasible,1546.0,0.07646356033452807,60.03824504799559,299,0,"[""branching"", ""max_time_in_seconds"", ""notes""]",solvers/node_0017_solver.py,10c9c37253cca191,797c8acd5c4f0104
18,5,node_0018,1684,18,-44,-1692.6104513064133,feasible,1539.0,0.08610451306413301,30.130130723991897,245,0,"[""branching"", ""notes""]",solvers/node_0018_solver.py,ce7247eae4cda4e5,797c8acd5c4f0104
19,10,node_0019,1704,35,-24,-1713.6244131455398,feasible,1540.0,0.09624413145539906,30.075272835994838,65,0,"[""branching"", ""notes""]",solvers/node_0019_solver.py,13caf27bc49e40ef,d99c3d9f793c45a6
20,12,node_0020,1683,14,-45,-1691.6749851455734,feasible,1537.0,0.08674985145573381,30.0326422220096,274,0,"[""branching"", ""notes""]",solvers/node_0020_solver.py,02f166d151419f37,c9a7329bd67e8245
21,5,node_0021,1697,31,-31,-1706.310548025928,feasible,1539.0,0.09310548025928109,30.042852242011577,374,0,"[""branching"", ""notes""]",solvers/node_0021_solver.py,e9fcc7ffc6d1e27a,797c8acd5c4f0104
22,5,node_0022,1689,23,-39,-1697.8217880402606,feasible,1540.0,0.08821788040260509,30.119197952997638,68,0,"[""branching"", ""notes""]",solvers/node_0022_solver.py,54fe08bc5d2610d3,797c8acd5c4f0104
23,5,node_0023,1698,32,-30,-1707.3050647820967,feasible,1540.0,0.09305064782096584,30.03294548598933,299,0,"[""branching"", ""notes""]",solvers/node_0023_solver.py,bc88d353f5c5fcd2,797c8acd5c4f0104
24,5,node_0024,1697,31,-31,-1706.310548025928,feasible,1539.0,0.09310548025928109,30.04954573098803,345,0,"[""branching"", ""notes""]",solvers/node_0024_solver.py,ef359f8bd04c8001,797c8acd5c4f0104
25,5,node_0025,1686,20,-42,-1694.1850533807828,feasible,1548.0,0.08185053380782918,60.05554987699725,321,0,"[""max_time_in_seconds"", ""notes""]",solvers/node_0025_solver.py,aaf56e591c084632,797c8acd5c4f0104
26,10,node_0026,1678,9,-50,-1685.8665077473183,feasible,1546.0,0.07866507747318235,60.054677245003404,308,0,"[""max_time_in_seconds"", ""notes""]",solvers/node_0026_solver.py,9629eeaa64d85a5f,d99c3d9f793c45a6
27,5,node_0027,1694,28,-34,-1702.5596221959859,feasible,1549.0,0.08559622195985832,60.05530643300153,344,0,"[""max_time_in_seconds"", ""notes""]",solvers/node_0027_solver.py,1cb672243993c64f,797c8acd5c4f0104
28,7,node_0028,1666,-8,-62,-1673.142857142857,feasible,1547.0,0.07142857142857142,60.054053243016824,318,0,"[""branching"", ""notes""]",solvers/node_0028_solver.py,2939d1397363c448,dff25850b04f2084
29,28,node_0029,1691,25,-37,-1699.3973979893553,feasible,1549.0,0.08397397989355411,60.077128083998105,128,0,"[""branching"", ""notes""]",solvers/node_0029_solver.py,ae3c81033b82ee91,2939d1397363c448
30,28,node_0030,1698,32,-30,-1706.9517078916372,feasible,1546.0,0.0895170789163722,60.13454592900234,379,0,"[""branching"", ""notes""]",solvers/node_0030_solver.py,20a2960e988456e6,2939d1397363c448
31,28,node_0031,1726,60,-2,-1736.4287369640788,feasible,1546.0,0.10428736964078796,60.08092303099693,41,0,"[""branching"", ""notes""]",solvers/node_0031_solver.py,51095e22b976fc7b,2939d1397363c448
32,28,node_0032,1666,0,-62,-1673.202881152461,feasible,1546.0,0.07202881152460984,60.03621572299744,280,0,"[""branching"", ""notes""]",solvers/node_0032_solver.py,ccc6f14ceb604b97,2939d1397363c448
